accession,superkingdom,phylum,class,order,family,genus,species
GCA_900556935.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110,CAG-110 sp900556935
GCA_000432135.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp000432135
GCA_900555665.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp900555665
GCF_000177015.3,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp000177015
GCA_000435555.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83,CAG-83 sp000435555
GCA_900546295.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp900546295
GCA_900550165.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp900550165
GCF_003425665.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,Evtepia gabavorous
GCA_004556345.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,Evtepia sp004556345
GCA_004556755.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp004556755
GCA_003533405.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp003533405
GCF_002159455.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor sp002159455
GCF_002161215.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor sp002161215
GCF_900626145.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,Intestinimonas timonensis
GCF_001244995.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,Intestinimonas massiliensis
GCF_003478995.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp003478995
GCF_900169975.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Marseille-P3106,Marseille-P3106 sp900169975
GCA_900543935.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Marseille-P3106,Marseille-P3106 sp900543935
GCA_001941075.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,NK3B98,NK3B98 sp001941075
GCA_900314485.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,NK3B98,NK3B98 sp900314485
GCA_900548505.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,Oscillibacter sp900548505
GCF_000403435.2,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,Oscillibacter sp000403435
GCA_900079765.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor sp900079765
GCF_000169255.2,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus
GCA_900320765.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,RUG626,RUG626 sp900320765
GCA_900317385.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,RUG626,RUG626 sp900317385
GCF_900130065.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Sporobacter,Sporobacter termitidis
GCA_002307055.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Sporobacter,Sporobacter sp002307055
GCA_002450075.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA1777,UBA1777 sp002450075
GCA_002320035.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA1777,UBA1777 sp002320035
GCA_002359425.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA2658,UBA2658 sp002359425
GCA_002841545.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA2658,UBA2658 sp002841545
GCA_900544765.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA5446,UBA5446 sp900544765
GCA_004553625.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA5446,UBA5446 sp004553625
GCA_004557735.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,UBA738 sp004557735
GCA_002404605.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,UBA738 sp002404605
GCA_004560375.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,UBA9475 sp004560375
GCF_002161235.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,UBA9475 sp002161235
GCA_900555795.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UMGS1872,UMGS1872 sp900555795
GCA_900549475.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UMGS1872,UMGS1872 sp900549475
GCA_900539945.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp900539945
GCF_900078395.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,Anaerotruncus rubiinfantis
GCF_003612625.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,Anaerotruncus sp003612625
GCA_900547385.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp900547385
GCA_003453215.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp003453215
GCA_000432175.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115,CAG-115 sp000432175
GCA_002304735.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115,CAG-115 sp002304735
GCA_002395525.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-353,CAG-353 sp002395525
GCA_900066885.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-353,CAG-353 sp900066885
GCA_900550695.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS363,UMGS363 sp900550695
GCF_000162015.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_C
GCA_002395085.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Firm-04,Firm-04 sp002395085
GCA_001603005.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Firm-04,Firm-04 sp001603005
GCF_004345265.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,Fournierella massiliensis
GCA_900543285.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,Fournierella sp900543285
GCA_900540595.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger sp900540595
GCA_004554775.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger variabilis_B
GCA_002315235.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,HUN007,HUN007 sp002315235
GCF_000712055.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,HUN007,HUN007 sp000712055
GCF_900155615.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Massilimaliae,Massilimaliae massiliensis
GCF_900186585.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Massilimaliae,Massilimaliae timonensis
GCF_900095865.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Massilioclostridium,Massilioclostridium coli
GCF_000158655.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Massilioclostridium,Massilioclostridium methylpentosum
GCA_900547015.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,Negativibacillus sp900547015
GCF_900148495.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,Negativibacillus massiliensis
GCA_900552945.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,QAMM01,QAMM01 sp900552945
GCA_003150405.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,QAMM01,QAMM01 sp003150405
GCA_002363155.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E,Ruminiclostridium_E sp002363155
GCA_002437415.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E,Ruminiclostridium_E sp002437415
GCA_900545125.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp900545125
GCF_900116855.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus flavefaciens_R
GCA_000437255.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C sp000437255
GCF_000468015.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C callidus
GCA_900543145.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_D,Ruminococcus_D sp900543145
GCF_000179635.2,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_D,Ruminococcus_D albus
GCA_004558835.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_F,Ruminococcus_F sp004558835
GCF_000210095.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_F,Ruminococcus_F champanellensis
GCF_000949455.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium lactatiformans
GCA_002315015.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium sp002315015
GCA_900554975.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1394,UBA1394 sp900554975
GCA_002305725.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1394,UBA1394 sp002305725
GCA_900553675.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1409,UBA1409 sp900553675
GCA_002305045.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1409,UBA1409 sp002305045
GCA_002369315.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA3818,UBA3818 sp002369315
GCA_900557155.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA3818,UBA3818 sp900557155
GCA_002392545.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA3855,UBA3855 sp002392545
GCA_002393815.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA3855,UBA3855 sp002393815
GCA_900551505.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA5884,UBA5884 sp900551505
GCA_002431975.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA5884,UBA5884 sp002431975
GCA_002479715.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA7477,UBA7477 sp002479715
GCA_001940995.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA7477,UBA7477 sp001940995
GCA_900543295.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA866,UBA866 sp900543295
GCA_002295325.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA866,UBA866 sp002295325
GCA_900545345.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1601,UMGS1601 sp900545345
GCA_900553335.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1601,UMGS1601 sp900553335
GCA_900553955.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,UMGS1668 sp900553955
GCA_004556975.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,UMGS1668 sp004556975
GCA_900541495.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS363,UMGS363 sp900541495
GCA_003343705.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,UBA644,QAKR01,QAKR01 sp003343705
GCA_900547165.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,UBA644,UBA644,UBA644 sp900547165
GCA_002299265.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,UBA644,UBA644,UBA644 sp002299265
GCA_002869095.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,BM714,BM714,BM714 sp002869095
GCA_900542245.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-238,CAG-238 sp900542245
GCA_002455605.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Aminipila,Aminipila sp002455605
GCF_004103735.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Aminipila,Aminipila sp004103735
GCA_900545135.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-145,CAG-145 sp900545135
GCA_003150015.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-145,CAG-145 sp003150015
GCA_002482405.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,UBA7709,UBA7709 sp002482405
GCA_900551415.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-238,CAG-238 sp900551415
GCA_000435615.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-238,CAG-238 sp000435615
GCA_900066695.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Emergencia,Emergencia sp900066695
GCA_900551775.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Emergencia,Emergencia sp900551775
GCA_900315125.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_A,Eubacterium_A sp900315125
GCF_003433295.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_A,Eubacterium_A minutum
GCF_001189495.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_B,Eubacterium_B sulci
GCF_900450455.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_B,Eubacterium_B infirmum
GCF_000488855.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_M,Eubacterium_M brachy
GCA_900540015.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_M,Eubacterium_M sp900540015
GCF_900102225.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Eubacterium_T pyruvativorans
GCA_900318155.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T,Eubacterium_T sp900318155
GCF_000525775.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,Mogibacterium timidum
GCA_002299625.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,Mogibacterium sp002299625
GCA_900553025.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,S5-A14a,S5-A14a sp900553025
GCF_000758905.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,S5-A14a,S5-A14a sp000758905
GCA_900543485.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,UBA1191,UBA1191 sp900543485
GCA_900066305.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,UBA1191,UBA1191 sp900066305
GCA_002329675.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,UBA1426,UBA1426 sp002329675
GCA_002385825.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,UBA1426,UBA1426 sp002385825
GCA_900167215.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Filifactoraceae,Peptoanaerobacter,Peptoanaerobacter yurii
GCF_000196455.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium sticklandii
GCF_900168025.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium noterae
GCF_001693775.2,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Filifactoraceae,Criibacterium,Criibacterium bergeronii
GCA_000146855.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Filifactoraceae,Peptoanaerobacter,Peptoanaerobacter margaretiae
GCF_004125825.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Fusibacteraceae,Fusibacter_B,Fusibacter_B sp004125825
GCA_002452745.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Fusibacteraceae,Fusibacter_A,Fusibacter_A sp002452745
GCF_001748365.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Fusibacteraceae,Fusibacter_A,Fusibacter_A sp001748365
GCA_002441045.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Fusibacteraceae,UBA5201,UBA5201 sp002441045
GCA_001897605.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Fusibacteraceae,UBA5201,UBA5201 sp001897605
GCF_000621485.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,Alkaliphilus transvaalensis
GCF_001854185.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium_W,Clostridium_W formicaceticum
GCF_001042715.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium_W,Clostridium_W aceticum
GCA_900002575.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia hominis
GCF_000438845.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile
GCA_002390935.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides,Clostridioides sp002390935
GCF_006861675.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridium_U,Clostridium_U sp006861675
GCA_900539645.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridium_U,Clostridium_U sp900539645
GCF_002029295.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridium_Y,Clostridium_Y thermoalcaliphilum
GCF_001584565.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridium_Y,Clostridium_Y paradoxum
GCA_900604495.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,GCA-900066495,GCA-900066495 sp900066495
GCA_900545985.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,GCA-900066495,GCA-900066495 sp900545985
GCF_000154445.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii
GCA_900540355.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Intestinibacter,Intestinibacter sp900540355
GCF_000452245.2,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium bifermentans_A
GCF_001006285.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium benzoelyticum
GCF_000381525.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus anaerobius
GCF_900110295.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus russellii_A
GCA_900015215.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia ilealis
GCF_900142235.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Tepidibacter,Tepidibacter formicigenes
GCF_900129915.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Tepidibacter,Tepidibacter thalassicus
GCF_000439105.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter glycolicus
GCA_900557165.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter sp900557165
GCF_004345705.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Thermotaleaceae,Marinisporobacter,Marinisporobacter balticus
GCF_900142145.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Thermotaleaceae,Geosporobacter,Geosporobacter subterraneus
GCF_001750685.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Thermotaleaceae,Geosporobacter,Geosporobacter ferrireducens
GCF_004138215.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Thermotaleaceae,Inediibacterium,Inediibacterium sp004138215
GCF_001282725.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Thermotaleaceae,Inediibacterium,Inediibacterium massiliense
GCF_900107185.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Saccharofermentans,Saccharofermentans sp900107185
GCA_002316595.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,DTU023,UBA1046,UBA1046 sp002316595
GCA_002427505.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,DTU023,DTU032,DTU032 sp002427505
GCA_001512745.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,DTU023,DTU032,DTU032 sp001512745
GCA_001512945.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,DTU023,UBA4923,UBA4923 sp001512945
GCA_002427535.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,DTU023,UBA4923,UBA4923 sp002427535
GCF_001552885.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Fastidiosipilaceae,KA00274,KA00274 sp001552885
GCA_002418705.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Firm-13,Firm-13 sp002418705
GCA_001603035.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Firm-13,Firm-13 sp001603035
GCA_002368805.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Firm-16,Firm-16 sp002368805
GCA_900317035.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Firm-16,Firm-16 sp900317035
GCA_001604185.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Firm-16,Firm-16 sp001604185
GCA_002394605.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,Saccharofermentanaceae,Saccharofermentans,Saccharofermentans sp002394605
GCA_002419365.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,UBA5734,UBA5734,UBA5734 sp002419365
GCA_007133255.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,UBA5734,SLHU01,SLHU01 sp007133255
GCA_007135995.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,UBA5734,SLHU01,SLHU01 sp007135995
GCA_002419145.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,UBA5734,UBA5734,UBA5734 sp002419145
GCA_003451915.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,UBA5734,UBA8949,UBA8949 sp003451915
GCA_003532195.1,Bacteria,Firmicutes_A,Clostridia,Saccharofermentanales,UBA5734,UBA8949,UBA8949 sp003532195
GCA_900556455.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,UMGS1933,UMGS1933 sp900556455
GCA_900553785.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-465,UMGS1649,UMGS1649 sp900553785
GCA_000433335.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-465,CAG-465,CAG-465 sp000433335
GCA_900554875.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-465,CAG-465,CAG-465 sp900554875
GCA_000433755.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-465,CAG-465,CAG-465 sp000433755
GCA_000435175.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-245,CAG-245 sp000435175
GCA_900552135.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-245,CAG-245 sp900552135
GCA_900556865.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp900556865
GCA_003518755.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp003518755
GCA_003534295.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp003534295
GCA_000438355.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp000438355
GCA_900553015.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-354,CAG-354 sp900553015
GCA_900552655.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-354,CAG-354 sp900552655
GCA_002314935.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-452,CAG-452 sp002314935
GCA_000434035.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-452,CAG-452 sp000434035
GCA_900553225.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-492,CAG-492 sp900553225
GCA_000434335.1,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-492,CAG-492 sp000434335
